municipality,state,distributor,regulated_tariff,tariff_start,tariff_end,multiple_distributors
PIRACICABA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
SALTINHO,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
MACAUBAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
QUIXADA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"SANTA VITORIA DO PALMAR",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
TABULEIRO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
ERERE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
IRACEMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
JAGUARETAMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
JAGUARIBARA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
JAGUARIBE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
PEREIRO,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
POTIRETAMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
IRAQUARA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
IBITITA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"TERRA DE AREIA",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
SAUBARA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
GUIDOVAL,MG,EMR,0.81704,2026-01-01,2026-06-21,0
CANDELARIA,RS,"RGE SUL",,,,0
"SAO FRANCISCO DE ASSIS",RS,"RGE SUL",,,,0
"OLIVEIRA DOS BREJINHOS",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CATAGUASES,MG,EMR,0.81704,2026-01-01,2026-06-21,0
LEOPOLDINA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"ELDORADO DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
FORMIGUEIRO,RS,"RGE SUL",,,,0
"ELISIO MEDRADO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SANTA ROSA",RS,RGE,0.8222,2026-01-01,2026-06-18,1
"ROCA SALES",RS,"RGE SUL",,,,1
CHORO,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
IBARETAMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"ENTRE RIOS",SC,DCELT,0.68354,2026-01-01,2026-08-28,0
MAQUINE,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
IBIRATAIA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"VERA CRUZ",RS,"RGE SUL",,,,0
CARIRE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
GROAIRAS,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
MAIQUINIQUE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SAO PEDRO DO SUL",RS,"RGE SUL",,,,0
"SAO GABRIEL DA PALHA",ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
GUAIBA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"CONCEICAO DE MACABU",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"SANTA MARIA MADALENA",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
CANUDOS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"DOM PEDRITO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SANTA CRUZ DO SUL",RS,"RGE SUL",,,,1
ALEGRETE,RS,"RGE SUL",,,,0
PALMEIRAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
HERVAL,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
TORRES,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"ARROIO DOS RATOS",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SAO JERONIMO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SAO JOSE DO NORTE",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
MARACANAU,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
TAVARES,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CERRITO,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SAO LOURENCO DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
XANGRI-LA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"PALMARES DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SENTO SE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
DESCOBERTO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"ITAMARATI DE MINAS",MG,EMR,0.81704,2026-01-01,2026-06-21,0
BONINAL,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"NOVA FRIBURGO",RJ,ENF,,,,1
"MATA DE SAO JOAO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"LAVRAS DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"CAPAO DO LEAO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"ALTO RIO NOVO",ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
"NOVA SANTA RITA",RS,"RGE SUL",,,,0
"DOM FELICIANO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
BRASILIA,DF,"NEOENERGIA BRASILIA",0.82672,2026-01-01,2026-10-21,0
"ASTOLFO DUTRA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
"LAGOA BONITA DO SUL",RS,"RGE SUL",,,,0
SOBRADINHO,RS,"RGE SUL",,,,0
BAURU,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
PEDERNEIRAS,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
PIRATININGA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
XIQUE-XIQUE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"GENERAL CAMARA",RS,"RGE SUL",,,,1
IMBE,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"BREU BRANCO",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"GOIANESIA DO PARA",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"NOVO REPARTIMENTO",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
PACAJA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
TUCURUI,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"RIO NOVO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
PIRAUBA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
MOSTARDAS,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
PEDREIRA,SP,"CPFL JAGUARI",,,,0
"RIO PARDO",RS,"RGE SUL",,,,1
"ROSARIO DO SUL",RS,"RGE SUL",,,,0
ALCOBACA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
PRADO,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ALVINLANDIA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
"CAMPOS NOVOS PAULISTA",SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
LUPERCIO,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
MARILIA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
OCAUCU,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
CAUCAIA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"SAO GONCALO DO AMARANTE",CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
LAJEADO,RS,"RGE SUL",,,,1
CATANDUVA,SP,CNEE,,,,1
MACAE,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"TRES CACHOEIRAS",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
BURITIRAMA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"MORRINHOS DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"ALEM PARAIBA",MG,EMR,0.81704,2026-01-01,2026-06-21,1
"SANTO ANTONIO DO AVENTUREIRO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
NAZARE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"DIAS D'AVILA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MAMPITUBA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CAMAQUA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CAMANDUCAIA,MG,EEB,,,,0
PALMA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
PICOS,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
CANDEIAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
PORTAO,RS,"RGE SUL",,,,0
"PINHEIRO MACHADO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"DONA EUZEBIA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
SERRINHA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
URUPES,SP,CNEE,,,,1
