"municipality","state","latitude","longitude"
"ABADIA DE GOIAS","GO","-16.75","-49.43"
"ABADIA DOS DOURADOS","MG","-18.48","-47.4"
"ABADIANIA","GO","-16.2","-48.7"
"ABAETE","MG","-19.16","-45.44"
"ABAETETUBA","PA","-1.71","-48.88"
"ABAIARA","CE","-7.35","-39.04"
"ABAIRA","BA","-13.25","-41.66"
"ABARE","BA","-8.7200000000000006","-39.11"
"ABATIA","PR","-23.3","-50.31"
"ABDON BATISTA","SC","-27.61","-51.02"
"ABEL FIGUEIREDO","PA","-4.95","-48.39"
"ABELARDO LUZ","SC","-26.56","-52.32"
"ABRE CAMPO","MG","-20.3","-42.47"
"ABREU E LIMA","PE","-7.91","-34.9"
"ABREULANDIA","TO","-9.6199999999999992","-49.15"
"ACAIACA","MG","-20.36","-43.14"
"ACAILANDIA","MA","-4.9400000000000004","-47.5"
"ACAJUTIBA","BA","-11.66","-38.01"
"ACARA","PA","-1.96","-48.19"
"ACARAPE","CE","-4.22","-38.700000000000003"
"ACARAU","CE","-2.88","-40.119999999999997"
"ACARI","RN","-6.43","-36.630000000000003"
"ACAUA","PI","-8.2100000000000009","-41.08"
"ACOPIARA","CE","-6.09","-39.450000000000003"
"ACORIZAL","MT","-15.2","-56.36"
"ACRELANDIA","AC","-9.82","-66.88"
"ACREUNA","GO","-17.39","-50.37"
"ACU","RN","-5.57","-36.9"
"ACUCENA","MG","-19.07","-42.54"
"ADAMANTINA","SP","-21.68","-51.07"
"ADELANDIA","GO","-16.41","-50.16"
"ADOLFO","SP","-21.23","-49.64"
"ADRIANOPOLIS","PR","-24.65","-48.99"
"ADUSTINA","BA","-10.53","-38.1"
"AFOGADOS DA INGAZEIRA","PE","-7.75","-37.630000000000003"
"AFONSO BEZERRA","RN","-5.49","-36.5"
"AFONSO CLAUDIO","ES","-20.07","-41.12"
"AFONSO CUNHA","MA","-4.13","-43.32"
"AFRANIO","PE","-8.51","-41"
"AFUA","PA","-0.15","-50.38"
"AGRESTINA","PE","-8.4499999999999993","-35.94"
"AGRICOLANDIA","PI","-5.79","-42.66"
"AGROLANDIA","SC","-27.41","-49.82"
"AGRONOMICA","SC","-27.26","-49.71"
"AGUA AZUL DO NORTE","PA","-6.79","-50.46"
"AGUA BOA","MG","-17.989999999999998","-42.38"
"AGUA BOA","MT","-14.05","-52.15"
