"Product","Guid","ExitCode","Success","Log"
"Batch Print for Autodesk Revit 2024","{82AF00E4-2401-0010-0000-FCE0F8702400}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Batch_Print_for_Autodesk_Revit_2024.log"
"Worksharing Monitor for Autodesk Revit 2024","{5063E738-2401-0010-0000-7B7B9AB02400}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Worksharing_Monitor_for_Autodesk_Revit_2024.log"
"eTransmit for Autodesk Revit 2024","{4477F08B-2401-0010-0000-9A09D8342400}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\eTransmit_for_Autodesk_Revit_2024.log"
"Autodesk Cloud Models for Revit 2024","{AA384BE4-2401-0010-0000-97E7D7D02400}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Autodesk_Cloud_Models_for_Revit_2024.log"
"Autodesk Steel Connections Core Content for Revit 2024","{C430585C-2024-4514-A253-D0C70D33ADD5}","1603","False","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Autodesk_Steel_Connections_Core_Content_for_Revit_2024.log"
"FormIt Converter for Revit 2024","{A4D93D5A-1942-4AB1-828E-C58A8DDB4377}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\FormIt_Converter_for_Revit_2024.log"
"Generative Design For Revit","{FD0F3B78-9A88-4A56-AFE4-28B5D8F4A30A}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Generative_Design_For_Revit.log"
"REX Revit","{11AFDE30-6E36-412B-8220-A78311625B91}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\REX_Revit.log"
"Revit 2024","{7346B4A0-2400-0510-0000-705C0D862004}","1612","False","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Revit_2024.log"
"Autodesk Revit Content Core-RVT 2024","{CC7D1ED0-2024-0410-0000-1CC925969102}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Autodesk_Revit_Content_Core-RVT_2024.log"
"Autodesk Revit Content Core 2024","{AA384BE4-2024-0410-0000-9241AD002DA5}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Autodesk_Revit_Content_Core_2024.log"
"Autodesk Revit Product Feedback 2024","{D0AA00F5-2024-4900-BB7C-21929DC2B241}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Autodesk_Revit_Product_Feedback_2024.log"
"Autodesk Revit Unit Schemas 2024","{CDCC6F31-2024-4902-8E9B-D562B70697B6}","0","True","C:\Users\Eduardo\Documents\Codex\2026-06-13\o-c-dex-seguinte-eu-n\work\revit-uninstall-logs\Autodesk_Revit_Unit_Schemas_2024.log"
